src,dst,payload,packet_count,wait,dst_port,server_timeout,packets_received,error
103.152.0.0,101.42.0.0,payloads/exp8.bin,20,1,1285,20,20,False
101.42.0.0,103.152.0.0,payloads/exp9.bin,20,1,1286,20,20,False
103.152.0.0,101.42.0.0,payloads/exp9.bin,20,1,1287,20,20,False
101.42.0.0,103.152.0.0,payloads/exp10.bin,20,1,1288,20,20,False
103.152.0.0,101.42.0.0,payloads/exp10.bin,20,1,1289,20,20,False
101.42.0.0,103.152.0.0,payloads/exp11.bin,20,1,1290,20,20,False
103.152.0.0,101.42.0.0,payloads/exp11.bin,20,1,1291,20,20,False
101.42.0.0,103.152.0.0,payloads/exp12.bin,20,1,1292,20,20,False
103.152.0.0,101.42.0.0,payloads/exp12.bin,20,1,1293,20,20,False
101.42.0.0,103.152.0.0,payloads/exp13.bin,20,1,1294,20,20,False
103.152.0.0,101.42.0.0,payloads/exp13.bin,20,1,1295,20,20,False
101.42.0.0,103.152.0.0,payloads/exp14.bin,20,1,1296,20,20,False
103.152.0.0,101.42.0.0,payloads/exp14.bin,20,1,1297,20,20,False
101.42.0.0,103.152.0.0,payloads/exp15.bin,20,1,1298,20,20,False
103.152.0.0,101.42.0.0,payloads/exp15.bin,20,1,1299,20,20,False
101.42.0.0,134.122.0.0,payloads/exp1.bin,20,1,1300,20,1,False
134.122.0.0,101.42.0.0,payloads/exp1.bin,20,1,1301,20,20,False
101.42.0.0,134.122.0.0,payloads/exp2.bin,20,1,1302,20,4,False
134.122.0.0,101.42.0.0,payloads/exp2.bin,20,1,1303,20,20,False
101.42.0.0,134.122.0.0,payloads/exp3.bin,20,1,1304,20,20,False
134.122.0.0,101.42.0.0,payloads/exp3.bin,20,1,1305,20,20,False
101.42.0.0,134.122.0.0,payloads/exp4.bin,20,1,1306,20,20,False
134.122.0.0,101.42.0.0,payloads/exp4.bin,20,1,1307,20,20,False
101.42.0.0,134.122.0.0,payloads/exp5.bin,20,1,1308,20,19,False
134.122.0.0,101.42.0.0,payloads/exp5.bin,20,1,1309,20,20,False
101.42.0.0,134.122.0.0,payloads/exp6.bin,20,1,1310,20,19,False
134.122.0.0,101.42.0.0,payloads/exp6.bin,20,1,1311,20,20,False
101.42.0.0,134.122.0.0,payloads/exp7.bin,20,1,1312,20,20,False
134.122.0.0,101.42.0.0,payloads/exp7.bin,20,1,1313,20,20,False
101.42.0.0,134.122.0.0,payloads/exp8.bin,20,1,1314,20,1,False
134.122.0.0,101.42.0.0,payloads/exp8.bin,20,1,1315,20,20,False
101.42.0.0,134.122.0.0,payloads/exp9.bin,20,1,1316,20,20,False
134.122.0.0,101.42.0.0,payloads/exp9.bin,20,1,1317,20,19,False
101.42.0.0,134.122.0.0,payloads/exp10.bin,20,1,1318,20,1,False
134.122.0.0,101.42.0.0,payloads/exp10.bin,20,1,1319,20,20,False
101.42.0.0,134.122.0.0,payloads/exp11.bin,20,1,1320,20,20,False
134.122.0.0,101.42.0.0,payloads/exp11.bin,20,1,1321,20,20,False
101.42.0.0,134.122.0.0,payloads/exp12.bin,20,1,1322,20,20,False
134.122.0.0,101.42.0.0,payloads/exp12.bin,20,1,1323,20,20,False
101.42.0.0,134.122.0.0,payloads/exp13.bin,20,1,1324,20,20,False
134.122.0.0,101.42.0.0,payloads/exp13.bin,20,1,1325,20,20,False
101.42.0.0,134.122.0.0,payloads/exp14.bin,20,1,1326,20,20,False
134.122.0.0,101.42.0.0,payloads/exp14.bin,20,1,1327,20,20,False
101.42.0.0,134.122.0.0,payloads/exp15.bin,20,1,1328,20,1,False
134.122.0.0,101.42.0.0,payloads/exp15.bin,20,1,1329,20,20,False
101.42.0.0,52.91.0.0,payloads/exp1.bin,20,1,1330,20,1,False
52.91.0.0,101.42.0.0,payloads/exp1.bin,20,1,1331,20,20,False
101.42.0.0,52.91.0.0,payloads/exp2.bin,20,1,1332,20,2,False
52.91.0.0,101.42.0.0,payloads/exp2.bin,20,1,1333,20,20,False
101.42.0.0,52.91.0.0,payloads/exp3.bin,20,1,1334,20,7,False
52.91.0.0,101.42.0.0,payloads/exp3.bin,20,1,1335,20,20,False
101.42.0.0,52.91.0.0,payloads/exp4.bin,20,1,1336,20,20,False
52.91.0.0,101.42.0.0,payloads/exp4.bin,20,1,1337,20,20,False
101.42.0.0,52.91.0.0,payloads/exp5.bin,20,1,1338,20,20,False
52.91.0.0,101.42.0.0,payloads/exp5.bin,20,1,1339,20,20,False
101.42.0.0,52.91.0.0,payloads/exp6.bin,20,1,1340,20,20,False
52.91.0.0,101.42.0.0,payloads/exp6.bin,20,1,1341,20,20,False
101.42.0.0,52.91.0.0,payloads/exp7.bin,20,1,1342,20,20,False
52.91.0.0,101.42.0.0,payloads/exp7.bin,20,1,1343,20,20,False
101.42.0.0,52.91.0.0,payloads/exp8.bin,20,1,1344,20,1,False
52.91.0.0,101.42.0.0,payloads/exp8.bin,20,1,1345,20,20,False
101.42.0.0,52.91.0.0,payloads/exp9.bin,20,1,1346,20,20,False
52.91.0.0,101.42.0.0,payloads/exp9.bin,20,1,1347,20,20,False
101.42.0.0,52.91.0.0,payloads/exp10.bin,20,1,1348,20,1,False
52.91.0.0,101.42.0.0,payloads/exp10.bin,20,1,1349,20,20,False
101.42.0.0,52.91.0.0,payloads/exp11.bin,20,1,1350,20,20,False
52.91.0.0,101.42.0.0,payloads/exp11.bin,20,1,1351,20,20,False
101.42.0.0,52.91.0.0,payloads/exp12.bin,20,1,1352,20,20,False
52.91.0.0,101.42.0.0,payloads/exp12.bin,20,1,1353,20,20,False
101.42.0.0,52.91.0.0,payloads/exp13.bin,20,1,1354,20,20,False
52.91.0.0,101.42.0.0,payloads/exp13.bin,20,1,1355,20,20,False
101.42.0.0,52.91.0.0,payloads/exp14.bin,20,1,1356,20,20,False
52.91.0.0,101.42.0.0,payloads/exp14.bin,20,1,1357,20,20,False
101.42.0.0,52.91.0.0,payloads/exp15.bin,20,1,1358,20,1,False
52.91.0.0,101.42.0.0,payloads/exp15.bin,20,1,1359,20,20,False
101.42.0.0,137.184.0.0,payloads/exp1.bin,20,1,1360,20,2,False
137.184.0.0,101.42.0.0,payloads/exp1.bin,20,1,1361,20,20,False
101.42.0.0,137.184.0.0,payloads/exp2.bin,20,1,1362,20,1,False
137.184.0.0,101.42.0.0,payloads/exp2.bin,20,1,1363,20,20,False
101.42.0.0,137.184.0.0,payloads/exp3.bin,20,1,1364,20,18,False
137.184.0.0,101.42.0.0,payloads/exp3.bin,20,1,1365,20,20,False
101.42.0.0,137.184.0.0,payloads/exp4.bin,20,1,1366,20,20,False
137.184.0.0,101.42.0.0,payloads/exp4.bin,20,1,1367,20,20,False
101.42.0.0,137.184.0.0,payloads/exp5.bin,20,1,1368,20,20,False
137.184.0.0,101.42.0.0,payloads/exp5.bin,20,1,1369,20,19,False
101.42.0.0,137.184.0.0,payloads/exp6.bin,20,1,1370,20,20,False
137.184.0.0,101.42.0.0,payloads/exp6.bin,20,1,1371,20,20,False
101.42.0.0,137.184.0.0,payloads/exp7.bin,20,1,1372,20,20,False
137.184.0.0,101.42.0.0,payloads/exp7.bin,20,1,1373,20,20,False
101.42.0.0,137.184.0.0,payloads/exp8.bin,20,1,1374,20,1,False
137.184.0.0,101.42.0.0,payloads/exp8.bin,20,1,1375,20,20,False
101.42.0.0,137.184.0.0,payloads/exp9.bin,20,1,1376,20,20,False
137.184.0.0,101.42.0.0,payloads/exp9.bin,20,1,1377,20,20,False
101.42.0.0,137.184.0.0,payloads/exp10.bin,20,1,1378,20,1,False
137.184.0.0,101.42.0.0,payloads/exp10.bin,20,1,1379,20,20,False
101.42.0.0,137.184.0.0,payloads/exp11.bin,20,1,1380,20,20,False
137.184.0.0,101.42.0.0,payloads/exp11.bin,20,1,1381,20,20,False
101.42.0.0,137.184.0.0,payloads/exp12.bin,20,1,1382,20,20,False
137.184.0.0,101.42.0.0,payloads/exp12.bin,20,1,1383,20,20,False
101.42.0.0,137.184.0.0,payloads/exp13.bin,20,1,1384,20,20,False
137.184.0.0,101.42.0.0,payloads/exp13.bin,20,1,1385,20,20,False
101.42.0.0,137.184.0.0,payloads/exp14.bin,20,1,1386,20,20,False
137.184.0.0,101.42.0.0,payloads/exp14.bin,20,1,1387,20,20,False
101.42.0.0,137.184.0.0,payloads/exp15.bin,20,1,1388,20,1,False
137.184.0.0,101.42.0.0,payloads/exp15.bin,20,1,1389,20,20,False
101.42.0.0,10.216.0.0,payloads/exp1.bin,20,1,1390,20,0,False
10.216.0.0,101.42.0.0,payloads/exp1.bin,20,1,1391,20,20,False
101.42.0.0,10.216.0.0,payloads/exp2.bin,20,1,1392,20,0,False
10.216.0.0,101.42.0.0,payloads/exp2.bin,20,1,1393,20,20,False
101.42.0.0,10.216.0.0,payloads/exp3.bin,20,1,1394,20,0,True
10.216.0.0,101.42.0.0,payloads/exp3.bin,20,1,1395,20,20,False
101.42.0.0,10.216.0.0,payloads/exp4.bin,20,1,1396,20,0,False
